country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB",11-07-2026 14:00,19.95022,73.73148,PM2.5,21,60,39
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",11-07-2026 14:00,19.053536,72.84643,NH3,2,5,3
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",11-07-2026 14:00,19.23241,72.86895,OZONE,17,31,24
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",11-07-2026 14:00,19.0863,72.8888,NH3,2,2,2
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",11-07-2026 14:00,19.0863,72.8888,SO2,29,29,29
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",11-07-2026 14:00,19.000083,72.813993,NH3,1,2,2
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",11-07-2026 14:00,19.1653323,72.922099,PM2.5,NA,NA,NA
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",11-07-2026 14:00,19.1653323,72.922099,OZONE,1,3,2
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",11-07-2026 14:00,18.9936162,72.8128113,PM2.5,17,80,47
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",11-07-2026 14:00,18.9936162,72.8128113,CO,24,26,25
India,Maharashtra,Dombivli,"Kalu Nagar, Dombivli - MPCB",11-07-2026 14:00,19.2268427,73.0788456,NO2,6,17,9
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",11-07-2026 14:00,21.001264,75.565602,PM10,27,66,42
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",11-07-2026 14:00,21.001264,75.565602,SO2,2,6,5
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",11-07-2026 14:00,19.854616,75.905894,NH3,3,5,4
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",11-07-2026 14:00,19.192056,72.9585188,PM10,46,124,56
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",11-07-2026 14:00,19.192056,72.9585188,OZONE,12,16,13
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",11-07-2026 14:00,19.25292,73.142019,PM2.5,NA,NA,NA
